MJD   Ra_deg   Dec_deg   Unc_deg   log10(Ereco)
56067.076728   76.76     5.38     0.56     3.68
56067.382729   75.58     4.11     0.81     3.09
56068.920340   77.12     3.24     0.49     3.10
56071.192330   75.76     6.91     0.51     3.01
56078.464063   78.53     6.97     0.80     3.60
56079.206971   76.55     5.62     0.50     3.11
56082.199731   79.90     6.83     0.25     3.05
56082.969908   75.71     8.03     1.30     3.15
56084.429243   75.12     4.91     1.89     3.66
56087.762805   77.74     7.21     0.43     2.74
56091.766804   77.23     2.87     0.26     3.23
56093.782702   79.25     5.65     0.29     3.17
56094.600146   77.83     5.89     2.92     2.99
56100.417893   74.68     5.61     0.60     2.94
56108.608525   74.83     5.79     0.29     2.85
56112.525970   76.06     8.27     0.86     2.91
56113.330220   75.92     5.26     1.44     3.11
56115.277542   77.13     3.29     1.10     2.82
56116.214351   77.54     8.67     0.71     2.82
56120.408999   79.91     5.77     0.74     2.92
56127.945131   78.09     7.35     0.52     3.00
56128.628120   79.12     6.87     0.43     2.70
56134.707248   75.55     6.24     0.34     3.05
56143.154068   78.22     3.74     0.47     3.12
56150.590258   76.64     7.74     0.68     2.89
56153.960708   77.48     7.37     0.45     3.11
56155.534145   78.44     7.98     1.29     3.04
56156.855129   77.37     6.10     0.18     3.06
56157.019276   75.24     6.48     1.57     3.23
56157.913207   77.53     4.36     1.02     2.67
56158.075930   77.11     7.39     0.82     2.95
56164.556018   78.19     4.04     0.72     3.05
56166.767070   76.28     8.07     0.96     3.23
56169.422493   77.95     5.91     1.14     3.36
56174.208839   79.68     4.01     0.34     2.95
56176.777142   77.95     5.91     0.59     2.58
56178.553004   74.57     5.22     0.87     2.91
56178.558727   77.58     4.85     0.47     2.82
56180.846499   76.76     8.17     0.63     2.92
56187.098723   77.31     7.87     0.48     3.24
56188.128704   76.07     5.66     0.23     3.20
56188.913436   79.76     7.43     1.10     3.15
56195.055099   76.33     4.40     0.61     3.07
56196.029291   77.41     5.77     1.18     3.16
56204.105000   74.71     7.09     0.55     3.00
56204.392970   80.19     6.11     1.14     3.44
56206.298956   78.05     5.40     2.18     3.02
56211.518731   78.66     8.23     0.39     3.20
56216.725175   79.36     7.72     2.40     2.99
56225.074922   76.97     6.89     0.79     2.89
56228.671292   75.93     4.00     0.44     3.37
56230.639683   79.18     6.83     0.47     2.99
56232.973356   75.97     3.34     0.54     3.08
56233.019040   74.73     5.18     0.44     3.12
56234.586917   75.64     6.34     0.38     3.07
56235.721562   75.38     7.36     2.85     2.58
56237.206610   78.18     5.42     1.05     2.59
56239.655830   75.06     5.80     0.76     2.86
56241.952152   78.01     8.48     0.23     3.68
56242.608551   77.17     3.09     0.30     3.02
56242.813255   80.26     5.16     0.42     2.73
56244.917264   76.66     7.60     1.59     3.07
56249.315182   74.66     6.18     0.54     2.99
56249.870802   79.48     5.51     0.36     3.43
56258.129084   79.37     5.49     0.77     2.79
56264.456410   76.08     3.24     0.15     3.58
56264.631066   77.88     5.46     0.54     2.82
56266.738226   78.07     5.12     0.38     2.86
56270.033710   80.24     5.71     0.39     2.91
56272.241125   79.64     5.32     0.62     2.93
56275.797914   77.12     7.94     0.29     3.00
56276.333611   75.25     5.48     0.23     3.53
56284.207829   76.76     2.92     0.67     3.01
56284.360252   77.84     8.53     1.02     2.82
56286.324300   78.77     6.67     0.59     2.93
56288.632551   80.34     5.86     0.83     3.04
56295.107788   77.40     6.44     0.67     2.82
56295.570715   78.32     6.53     0.66     3.11
56303.205075   76.67     3.33     0.38     3.00
56304.303369   76.45     4.96     0.26     2.90
56305.284277   76.59     7.04     0.37     2.91
56311.239347   79.37     4.35     0.48     3.42
56312.420614   74.95     5.64     0.97     2.99
56321.782748   76.12     6.39     0.49     4.20
56321.819835   79.69     7.41     0.64     3.33
56323.535474   77.50     5.29     0.82     3.06
56326.708320   77.79     8.36     0.70     2.55
56329.191761   76.69     6.01     0.54     2.77
56334.326721   78.19     4.67     0.38     3.14
56338.001565   77.58     6.07     0.79     3.15
56343.579080   77.37     6.41     0.45     3.35
56346.929398   78.65     5.30     0.80     3.03
56347.565421   75.79     6.77     0.43     3.19
56350.348905   77.05     3.65     1.94     2.93
56357.757699   79.77     6.67     0.70     2.77
56360.323114   75.99     4.21     2.36     2.98
56363.220506   75.67     4.00     0.31     3.23
56364.821996   78.48     4.77     0.20     3.72
56369.034936   76.59     7.03     0.30     3.18
56373.725039   79.26     4.35     0.38     2.99
56379.238624   76.28     7.86     1.04     3.00
56379.318080   76.68     5.88     1.79     3.00
56382.895817   78.72     3.38     0.55     2.87
56384.951612   78.73     3.52     0.65     3.05
56393.919010   79.89     6.39     1.33     2.74
56396.636217   78.50     6.50     0.34     3.33
56398.468652   77.17     5.80     0.36     3.04
56403.023158   75.29     6.10     0.77     2.87
56405.112703   78.75     5.13     0.47     3.08
56414.692632   77.06     7.47     1.02     2.95
56417.552912   76.26     6.68     1.15     3.02
56419.158199   80.27     6.30     0.60     2.96
56421.601000   76.36     8.03     0.61     3.03
56422.623320   76.66     5.11     0.32     3.06
56423.626241   79.47     4.85     0.91     3.13
56436.565886   79.80     7.35     1.16     2.88
56440.165396   76.57     6.83     1.16     3.07
56442.615861   75.90     5.28     0.59     3.07
56443.240399   79.48     4.86     0.29     2.87
56450.195795   79.73     4.79     0.90     3.00
56454.980660   79.41     6.78     0.43     3.05
56460.005750   78.29     4.29     0.65     2.82
56462.459017   78.99     6.55     1.14     3.02
56463.165844   74.38     5.43     1.20     2.59
56466.040396   76.57     4.57     0.19     3.02
56470.961835   76.42     5.80     0.91     2.40
56471.943144   74.88     4.91     0.94     2.70
56474.668428   76.20     7.26     0.41     3.36
56477.887219   77.21     3.74     1.16     2.98
56484.302543   78.42     8.50     0.87     3.09
56488.669922   79.82     7.07     0.54     2.88
56491.238863   79.03     5.36     0.78     2.93
56495.472622   78.70     5.65     0.54     2.96
56506.984687   79.80     4.27     0.33     3.60
56507.353490   79.90     7.22     1.04     2.86
56507.700472   78.79     7.02     0.32     3.15
56512.565636   79.67     4.31     0.23     3.29
56515.104776   79.24     5.35     0.36     2.64
56518.028912   78.02     6.87     0.44     2.94
56518.321444   79.34     5.48     1.02     2.92
56533.367715   76.01     6.41     1.09     2.86
56535.505027   76.40     4.03     0.73     3.00
56542.178086   78.45     3.60     1.02     3.23
56542.819512   79.39     3.71     0.93     3.45
56548.119574   78.67     6.52     0.97     2.96
56550.680440   78.45     8.09     0.84     3.33
56551.297710   76.38     2.96     0.76     2.90
56551.630686   77.72     2.92     0.63     3.63
56562.322535   77.50     8.02     2.13     2.85
56568.075561   74.81     5.48     0.35     2.95
56572.191753   76.85     4.67     0.54     2.94
56572.752130   74.37     5.98     1.47     3.07
56573.150084   75.87     8.16     0.76     2.91
56573.885535   78.73     7.30     2.53     3.76
56583.370246   80.35     5.34     0.52     2.97
56585.423556   80.09     5.45     0.56     2.95
56587.927158   75.86     7.76     1.15     2.61
56590.873683   77.77     5.95     0.37     3.27
56593.283641   76.08     6.92     0.50     3.16
56597.943333   78.09     7.70     0.30     3.10
56605.999596   78.08     5.06     0.37     3.38
56606.093500   77.29     7.86     1.12     3.17
56609.497977   77.69     4.86     0.74     3.19
56610.554781   77.21     6.47     0.84     3.12
56614.725442   79.84     6.94     1.20     3.39
56616.385752   77.11     7.62     0.92     2.94
56618.163356   79.26     8.01     1.41     3.37
56633.669201   76.96     5.24     0.45     3.18
56635.773499   76.19     6.13     0.29     3.34
56635.889949   77.12     6.87     0.39     3.24
56638.210951   74.91     5.98     0.39     3.08
56638.760536   78.86     4.12     0.96     3.09
56639.281695   75.70     5.73     1.40     2.98
56646.985115   77.88     6.10     0.53     3.25
56654.677053   75.77     5.76     0.64     2.86
56655.144102   79.04     4.33     0.46     3.23
56660.644873   80.29     5.74     0.49     2.57
56678.685960   74.62     6.57     0.60     2.95
56680.332888   76.78     7.63     1.22     3.02
56694.285016   76.34     3.13     0.69     3.04
56694.383732   78.55     3.07     0.34     2.90
56697.779623   76.31     6.38     1.00     3.00
56699.132926   77.91     8.56     0.25     3.22
56709.038898   79.60     6.51     0.25     3.28
56712.756087   75.22     5.67     1.44     3.49
56713.239120   78.33     4.63     3.72     2.77
56713.831790   76.59     7.88     0.33     2.80
56714.595855   78.73     5.87     0.33     2.81
56715.732352   74.71     4.90     1.86     3.27
56718.682113   77.97     6.30     0.74     3.03
56719.197346   80.25     5.50     0.81     2.88
56723.310115   75.83     4.28     2.44     2.83
56733.239491   74.72     6.57     0.85     3.19
56739.041519   78.18     3.93     0.42     3.14
56739.520763   78.35     8.29     0.44     2.81
56741.627149   78.30     5.23     0.73     2.68
56742.966997   76.72     7.26     0.33     2.91
56748.189288   77.83     3.49     0.75     2.74
56748.640378   77.46     3.20     0.60     3.30
56751.873092   77.73     3.09     0.34     3.38
56760.916089   77.37     6.54     0.79     3.38
56769.572731   74.78     5.87     0.43     3.06
56769.865563   78.56     7.63     0.58     3.07
56771.107829   76.92     8.36     0.52     2.96
56775.181984   79.08     6.30     0.42     3.04
56776.014558   77.30     3.89     0.64     3.30
56777.397367   78.42     4.05     0.86     3.05
56779.293453   78.66     3.94     0.70     3.05
56779.785794   76.88     4.26     1.00     3.27
56781.465481   74.56     5.30     0.42     2.87
56786.726710   76.51     6.22     0.96     2.79
56789.623720   79.54     4.61     0.26     3.08
56792.404807   78.96     3.52     0.38     2.98
56793.024542   76.14     6.81     0.88     3.11
56793.975632   78.27     5.52     0.58     3.17
56797.023190   76.73     6.39     0.47     2.99
56804.659702   79.41     7.47     0.27     3.15
56823.546766   78.20     8.54     0.82     2.77
56823.815304   78.58     4.72     2.96     2.88
56825.625827   78.31     6.94     0.95     3.02
56826.900927   74.90     5.03     0.95     2.52
56832.655103   77.43     6.91     1.02     2.90
56836.259618   79.25     4.23     1.18     2.83
56836.559649   77.20     4.96     0.68     3.12
